mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.01,0.575,-1.024,1.145,0.008,0.009,5363.0,3202.0,1.0
0.087,0.573,-0.977,1.175,0.008,0.009,5531.0,3309.0,1.0
-0.082,0.576,-1.084,1.087,0.008,0.009,5375.0,3323.0,1.0
-0.001,0.575,-1.062,1.099,0.008,0.009,5564.0,3306.0,1.0
-0.089,0.575,-1.183,0.999,0.008,0.009,5572.0,3390.0,1.0
-0.284,0.578,-1.319,0.826,0.008,0.008,5488.0,3335.0,1.0
0.164,0.576,-0.913,1.256,0.008,0.008,5469.0,3363.0,1.0
-0.3,0.578,-1.357,0.834,0.008,0.008,5266.0,3355.0,1.0
0.0,0.579,-1.055,1.138,0.008,0.009,5559.0,3276.0,1.0
-0.243,0.577,-1.291,0.88,0.008,0.008,5336.0,3302.0,1.0
-0.085,0.573,-1.155,1.003,0.008,0.009,5340.0,3297.0,1.0
0.055,0.574,-1.012,1.128,0.008,0.009,5385.0,3385.0,1.0
0.076,0.573,-0.92,1.234,0.008,0.009,5663.0,3485.0,1.0
0.079,0.574,-0.923,1.268,0.008,0.009,5519.0,3303.0,1.0
0.131,0.573,-0.959,1.208,0.008,0.008,5542.0,3456.0,1.0
0.246,0.577,-0.797,1.38,0.008,0.008,5631.0,3363.0,1.0
-0.131,0.578,-1.185,0.995,0.008,0.008,5436.0,3428.0,1.0
0.189,0.577,-0.887,1.293,0.008,0.008,5608.0,3447.0,1.0
0.068,0.66,-1.146,1.314,0.011,0.009,3627.0,3448.0,1.0
